,0
Train1MAPE,14.420061622074332
Train1RMLSE,0.20077164225398517
train1_EbyCRatio,0.5042434614661715
train1_IbyCRatio,0.8078926850643193
train1_infectious_period,1.0098093533985923
train1_r0,0.5020932480637113
train1_LatentEbyCRatio_4/28/20,0.5042434614661715
train1_LatentEbyCRatio_5/5/20,0.11785539465448097
train1_LatentIbyCRatio_4/28/20,0.8078926850643193
train1_LatentIbyCRatio_5/5/20,0.02932664131518094
TestMAPE,10.897526315232458
TestRMLSE,0.1816820624837379
Train2MAPE,9.652341170196461
Train2RMLSE,0.11440026063622509
train2_EbyCRatio,0.5016554388977986
train2_IbyCRatio,0.9641967745831552
train2_infectious_period,1.1549858535868625
train2_r0,0.5031436326992054
train2_LatentEbyCRatio_5/5/20,0.5016554388977986
train2_LatentEbyCRatio_5/12/20,0.12570321416758048
train2_LatentIbyCRatio_5/5/20,0.9641967745831552
train2_LatentIbyCRatio_5/12/20,0.037257710233254186
