,district,mape_infected_count_fitExp,mape_infected_count_fixExp_a_-0.05,mape_infected_count_fixExp_a_0.1,mape_infected_count_fixExp_a_0.3,mape_infected_count_sir_r0_0.8,mape_infected_count_sir_r0_1.1,mape_infected_count_sir_r0_1.3
0,Kasaragod,56.48645636825306,35.03355063638751,14.570050385653222,25.8441387874012,28.623906519887605,28.623906519887605,28.623906519887605
1,Hyderabad,8.571428571428573,25.208333333333332,4.851190476190475,53.86904761904761,17.5,17.5,17.5
2,Jaipur,8.333333333333332,16.666666666666664,13.095238095238097,67.85714285714285,8.333333333333332,8.333333333333332,8.333333333333332
3,Chennai,103.7037037037037,34.12698412698412,16.7989417989418,25.264550264550262,27.645502645502646,69.7089947089947,92.5925925925926
4,Kannur,74.52619843924192,35.1069220634438,18.90138846660586,28.89429411168542,31.093544137022395,31.093544137022395,31.093544137022395
5,Pune,7.440087145969498,7.1459694989106755,28.572984749455337,100.30501089324619,11.067538126361658,18.986928104575163,34.640522875817
6,Ernakulam,9.803921568627452,25.49019607843137,7.8431372549019605,54.90196078431372,5.88235294117647,5.88235294117647,5.88235294117647
7,Mumbai,26.190476190476193,15.873015873015872,56.08465608465608,142.85714285714286,12.16931216931217,12.16931216931217,12.16931216931217
8,Chandigarh,28.57142857142857,9.523809523809524,23.809523809523807,85.71428571428571,0.0,0.0,0.0
9,Vadodara,66.66666666666666,23.809523809523807,4.761904761904762,61.9047619047619,14.285714285714285,14.285714285714285,14.285714285714285
10,Bhilwara,10.588235294117647,37.908496732026144,15.032679738562093,30.718954248366014,29.54248366013072,29.54248366013072,29.54248366013072
