,mape_infected_count_fitExp,mape_infected_count_fixExp_a_-0.05,mape_infected_count_fixExp_a_0.1,mape_infected_count_fixExp_a_0.3,mape_infected_count_sir_r0_0.8,mape_infected_count_sir_r0_1.1,mape_infected_count_sir_r0_1.3,state
0,17.415109345329437,31.128716374822197,9.558624652274144,35.57377393790335,12.567355461660815,6.716574523694407,6.238166810311604,Kerala
1,1.9607843137254901,25.964579380139156,4.016445287792536,51.45477545857052,18.026565464895636,18.026565464895636,18.026565464895636,Delhi
2,5.195924764890282,31.016196447230932,7.912748171368861,37.07680250783699,16.057993730407524,11.985370950888193,5.43103448275862,Telangana
3,2.4949341438703145,31.441236068895645,9.369300911854102,36.41084093211753,20.405268490374873,20.405268490374873,20.405268490374873,Rajasthan
4,44.954707029010436,29.383098268547187,5.773420479302832,45.05217291595001,22.061690173145283,22.061690173145283,22.061690173145283,Haryana
5,6.587837837837839,27.650418275418275,3.744369369369369,43.3478120978121,20.483429858429858,20.483429858429858,20.483429858429858,Uttar Pradesh
6,33.34749034749034,47.2960102960103,28.945945945945944,10.742599742599742,13.588159588159588,9.698841698841697,18.243243243243246,Tamil Nadu
7,10.952627566066779,35.21787291585747,12.774588925812438,31.550693155716676,10.70255443825855,6.692992677628645,14.345278341221546,Karnataka
8,12.321837004935594,26.151839813811645,3.467457164640263,49.90309377633322,14.776393403153968,7.431082219814615,2.8276353276353277,Maharashtra
9,170.3847597597598,22.33671171171171,4.095345345345345,57.50938438438439,11.244369369369368,30.527402402402398,41.06981981981981,Punjab
10,8.585858585858585,32.67676767676768,9.14141414141414,37.67676767676768,14.949494949494948,14.949494949494948,14.949494949494948,Andhra Pradesh
11,76.29629629629629,22.222222222222225,13.703703703703704,46.666666666666664,17.407407407407405,17.407407407407405,44.44444444444445,West Bengal
12,22.61904761904762,13.095238095238097,18.452380952380953,75.59523809523809,4.166666666666666,4.166666666666666,4.166666666666666,Chandigarh
13,67.10271811055686,30.221588788218124,6.203128711527368,42.37503817571007,13.608368115646952,9.088364043571211,3.101564355763684,Gujarat
14,52.91187739463602,67.5478927203065,56.877394636015325,38.793103448275865,55.727969348659,55.727969348659,55.727969348659,Madhya Pradesh
